Calendar Year, Earned Premium , Earned Exposure , Average Cov A , Average Cov C   , Average PPC Class , Average Fire Risk , Count Negligible , Count Low , Count Moderate , Count High , Count Extreme , Non-Cat Cov A Fire Claims , Non-Cat Cov A Fire Losses , Non-Cat Cov A Smoke Claims , Non-Cat Cov A Smoke Losses , Non-Cat Cov C Fire Claims , Non-Cat Cov C Fire Losses , Non-Cat Cov C Smoke Claims , Non-Cat Cov C Smoke Losses , Cat Cov A Fire Claims , Cat Cov A Fire Losses , Cat Cov A Smoke Claims , Cat Cov A Smoke Losses , Cat Cov C Fire Claims , Cat Cov C Fire Losses , Cat Cov C Smoke Claims , Cat Cov C Smoke Losses 
94550," 14,592,608 "," 9,146 "," 721,918 "," 494,320 ",, 0.60 ," 4,373 "," 4,107 ", 637 , 29 ,, 5 ," 641,463 ", -   , -   , 4 ," 349,052 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
94551," 8,409,506 "," 5,819 "," 556,023 "," 377,467 ",, 0.50 ," 3,188 "," 2,382 ", 241 , 6 , 1 , 4 ," 460,843 ", -   , -   , 2 ," 165,000 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
94552," 7,189,850 "," 3,098 "," 774,512 "," 500,467 ",, 1.43 , 482 ," 1,123 "," 1,191 ", 284 , 17 , 2 ," 251,879 ", -   , -   , 2 ," 62,182 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
94555," 6,007,366 "," 4,687 "," 572,460 "," 368,731 ",, 0.29 ," 3,330 "," 1,356 ", 1 ,,, 1 ," 99,913 ", -   , -   , 1 ," 42,437 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
94560," 8,525,843 "," 6,883 "," 559,287 "," 363,756 ",, 0.31 ," 4,719 "," 2,164 ",,,, 8 ," 1,092,419 ", 1 ," 8,374 ", 6 ," 417,260 ", 1 ," 1,425 ", -   , -   , -   , -   , -   , -   , -   , -   
94566," 15,178,787 "," 7,264 "," 915,544 "," 600,625 ",, 0.59 ," 3,614 "," 3,124 ", 446 , 71 , 8 , 4 ," 380,089 ", -   , -   , 2 ," 80,839 ", -   , -   , 1 ," 4,664 ", -   , -   , -   , -   , -   , -   
94568," 14,138,406 "," 8,620 "," 781,299 "," 488,185 ",, 0.53 ," 4,936 "," 2,864 ", 795 , 22 , 4 , 3 ," 982,319 ", -   , -   , 3 ," 684,744 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
94577," 7,888,330 "," 5,814 "," 534,464 "," 359,996 ",, 0.43 ," 3,450 "," 2,229 ", 108 , 27 ,, 5 ," 371,940 ", -   , -   , 6 ," 164,826 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
94578," 4,252,565 "," 3,569 "," 475,348 "," 309,007 ",, 0.37 ," 2,287 "," 1,252 ", 31 ,, -   , 1 ," 12,058 ", -   , -   , 1 ," 2,127 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
94579," 3,698,082 "," 3,203 "," 488,542 "," 319,581 ",, 0.34 ," 2,108 "," 1,090 ", 5 ,,, 2 ," 412,574 ", -   , -   , 2 ," 168,364 ", -   , -   , 1 ," 2,217 ", -   , -   , -   , -   , -   , -   
94580," 5,111,166 "," 4,392 "," 454,039 "," 301,260 ",, 0.37 ," 2,798 "," 1,562 ", 33 ,,, 7 ," 1,580,962 ", -   , -   , 6 ," 135,060 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
94586," 700,531 ", 236 ," 989,753 "," 668,974 ",, 1.96 ,, 69 , 110 , 52 , 4 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
94587," 11,837,087 "," 8,363 "," 560,462 "," 370,546 ",, 0.33 ," 5,662 "," 2,680 ", 19 , 2 ,, 13 ," 1,694,525 ", -   , -   , 9 ," 1,475,364 ", -   , -   , 1 ," 3,501 ", -   , -   , -   , -   , -   , -   
94588," 8,490,029 "," 4,568 "," 775,899 "," 511,408 ",, 0.54 ," 2,533 "," 1,695 ", 271 , 54 , 16 , 5 ," 374,742 ", 1 ," 313,538 ", 3 ," 192,727 ", 1 ," 115,000 ", -   , -   , -   , -   , -   , -   , -   , -   
94601," 4,317,462 "," 2,994 "," 461,600 "," 293,675 ",, 0.41 ," 1,762 "," 1,233 ",,,, 4 ," 900,710 ", 1 ," 1,317 ", 2 ," 705,171 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
94602," 9,572,652 "," 4,939 "," 668,273 "," 441,881 ",, 0.74 ," 1,950 "," 2,483 ", 342 , 159 , 5 , 2 ," 439,051 ", -   , -   , 2 ," 48,502 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
94603," 3,605,863 "," 3,032 "," 368,571 "," 235,376 ",, 0.34 ," 2,000 "," 1,033 ",,,, 4 ," 592,910 ", 1 ," 2,777 ", 3 ," 348,020 ", -   , -   , 1 , 924 , 1 ," 13,722 ", -   , -   , 1 ," 4,574 "
94605," 12,156,074 "," 6,548 "," 571,924 "," 376,827 ",, 0.94 ," 2,082 "," 3,087 "," 1,052 ", 319 , 7 , 7 ," 662,050 ", 3 ," 16,150 ", 8 ," 373,413 ", 1 ," 5,500 ", -   , -   , -   , -   , -   , -   , -   , -   
94606," 2,434,153 "," 1,533 "," 568,437 "," 349,314 ",, 0.39 , 941 , 589 , 2 ,,, 1 ," 27,269 ", 2 ," 4,772 ", 1 ," 15,490 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
94607," 1,180,774 ", 753 ," 578,607 "," 372,018 ",, 0.43 , 430 , 323 ,,,, 1 ," 40,009 ", -   , -   , 1 ," 25,009 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
94608," 2,852,302 "," 1,823 "," 541,499 "," 349,823 ",, 0.41 ," 1,071 ", 750 , 2 ,,, 2 ," 359,681 ", -   , -   , 3 ," 361,012 ", -   , -   , 1 ," 5,001 ", -   , -   , -   , -   , -   , -   
94609," 3,081,475 "," 1,716 "," 633,537 "," 409,661 ",, 0.49 , 882 , 830 , 4 ,,, 1 ," 224,305 ", 1 , 735 , 1 ," 20,244 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
94610," 7,396,250 "," 2,960 "," 1,001,208 "," 661,013 ",, 0.83 , 927 ," 1,708 ", 223 , 101 , 1 , 2 ," 108,552 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
94611," 20,629,495 "," 6,740 "," 1,128,332 "," 714,081 ",, 1.66 , 611 ," 3,105 "," 1,124 "," 1,787 ", 112 , 3 ," 196,178 ", 1 ," 5,820 ", 3 ," 61,026 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
94612," 186,992 ", 116 ," 584,520 "," 360,117 ",, 0.41 , 68 , 47 ,,,, 1 ," 20,000 ", -   , -   , 1 ," 10,000 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
94618," 8,094,185 "," 3,019 "," 1,048,767 "," 686,358 ",, 0.87 , 831 ," 1,828 ", 268 , 90 , 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
94619," 8,665,323 "," 4,395 "," 644,402 "," 424,155 ",, 0.81 ," 1,764 "," 1,935 ", 460 , 226 , 10 , 1 ," 689,509 ", 2 ," 17,543 ", 1 ," 277,404 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
94621," 2,899,014 "," 2,277 "," 368,045 "," 232,377 ",, 0.32 ," 1,546 ", 731 ,,,, 4 ," 237,236 ", 3 ," 10,147 ", 1 ," 4,416 ", 1 ," 7,549 ", -   , -   , 1 , 231 , -   , -   , -   , -   
94702," 3,812,221 "," 2,450 "," 548,731 "," 364,025 ",, 0.44 ," 1,421 ", 990 , 39 ,,, -   , -   , -   , -   , 1 ," 3,476 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
94703," 3,773,028 "," 2,048 "," 653,509 "," 435,602 ",, 0.47 ," 1,113 ", 900 , 35 ,,, 3 ," 1,613,583 ", -   , -   , 2 ," 651,590 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
94704," 969,843 ", 367 ," 927,704 "," 614,478 ",, 0.80 , 151 , 174 , 10 , 26 , 6 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
94705," 7,968,343 "," 2,184 "," 1,344,978 "," 874,915 ",, 1.12 , 402 ," 1,334 ", 248 , 190 , 11 , 3 ," 544,160 ", -   , -   , 2 ," 94,216 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
94706," 3,651,265 "," 2,428 "," 611,875 "," 409,491 ",, 0.49 ," 1,256 "," 1,162 ", 10 ,,, 1 ," 28,035 ", -   , -   , 1 ," 6,863 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
94707," 7,834,497 "," 3,065 "," 990,761 "," 673,415 ",, 1.29 , 348 ," 1,832 ", 518 , 366 , 1 , 1 ," 71,209 ", -   , -   , 1 ," 14,099 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
94708," 7,937,466 "," 2,994 "," 997,579 "," 681,968 ",, 1.62 , 42 ," 1,829 ", 372 , 742 , 10 , 3 ," 665,008 ", 1 ," 44,054 ", 3 ," 237,214 ", 1 ," 52,949 ", -   , -   , -   , -   , -   , -   , -   , -   
94709," 1,412,008 ", 561 ," 938,715 "," 641,438 ",, 0.81 , 185 , 312 , 49 , 15 ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
94710," 1,023,265 ", 656 ," 591,646 "," 407,045 ",, 0.40 , 398 , 255 , 2 , -   ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
94720," 2,061 ", 1 ," 504,000 "," 378,000 ",, 2.00 ,,, 1 ,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Alpine," 1,256,369 ", 376 ," 840,414 "," 530,316 ",, 2.27 , 3 , 93 , 88 , 170 , 22 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
95646," 551,359 ", 146 ," 1,062,223 "," 669,621 ",, 2.13 , 2 , 44 , 37 , 59 , 4 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
96120," 705,010 ", 230 ," 618,606 "," 391,011 ",, 2.41 , 1 , 49 , 51 , 111 , 18 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Amador," 17,268,088 "," 8,675 "," 472,081 "," 302,027 ",, 2.31 , 690 ," 1,625 "," 2,649 "," 3,251 ", 461 , 3 ," 739,426 ", -   , -   , 3 ," 203,002 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
95601," 202,854 ", 79 ," 525,174 "," 334,204 ",, 1.97 ,, 22 , 36 , 20 ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
95629," 664,895 ", 225 ," 517,499 "," 342,556 ",, 2.56 , 2 , 26 , 59 , 121 , 17 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
95640," 3,353,446 "," 1,991 "," 467,963 "," 301,060 ",, 1.11 , 486 , 862 , 584 , 56 , 3 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
95642," 3,164,921 "," 1,438 "," 511,901 "," 336,638 ",, 1.90 , 139 , 282 , 644 , 334 , 39 , 1 ," 8,714 ", -   , -   , 1 ," 3,452 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
95644," 1,368 ", 1 ," 276,400 "," 152,020 ",, 3.00 ,,,, 1 ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
95665," 2,012,969 "," 1,066 "," 488,759 "," 320,699 ",, 2.82 , 1 , 6 , 296 , 649 , 115 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
95666," 2,970,015 "," 1,783 "," 434,609 "," 278,999 ",, 2.96 ,, 10 , 233 ," 1,353 ", 187 , 1 ," 350,712 ", -   , -   , 2 ," 199,550 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
95669," 1,339,257 ", 517 ," 549,740 "," 345,109 ",, 1.71 , 37 , 154 , 262 , 52 , 13 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
95675," 72,077 ", 65 ," 331,616 "," 205,456 ",, 2.84 , 1 ,, 9 , 53 , 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
95685," 2,361,339 "," 1,020 "," 538,488 "," 349,924 ",, 2.18 , 23 , 205 , 391 , 370 , 31 , 1 ," 380,000 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
95689," 1,027,989 ", 447 ," 515,379 "," 337,977 ",, 2.66 ,, 51 , 107 , 235 , 54 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
95699," 96,958 ", 43 ," 507,440 "," 319,677 ",, 1.96 , 1 , 7 , 28 , 7 ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Butte," 46,136,881 "," 28,836 "," 430,221 "," 284,899 ",, 1.47 ," 10,258 "," 10,527 "," 4,774 "," 3,128 ", 151 , 29 ," 2,359,345 ", 2 ," 119,836 ", 16 ," 782,373 ", 2 ," 93,529 ", 1 ," 29,325 ", -   , -   , -   , -   , -   , -   
95914," 223,174 ", 82 ," 447,843 "," 296,049 ",, 2.29 ,, 12 , 39 , 28 , 4 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
95916," 212,106 ", 110 ," 400,871 "," 270,948 ",, 2.15 ,, 29 , 37 , 44 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
95917," 686,364 ", 540 ," 363,068 "," 249,279 ",, 0.40 , 337 , 189 , 14 ,,, 1 ," 51,990 ", -   , -   , 1 ," 31,903 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
95926," 5,812,560 "," 4,719 "," 458,537 "," 313,103 ",, 0.46 ," 2,757 "," 1,756 ", 204 , 2 ,, 4 ," 645,697 ", -   , -   , 3 ," 332,720 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
95928," 7,106,173 "," 4,655 "," 521,911 "," 358,184 ",, 0.77 ," 1,873 "," 2,123 ", 541 , 112 , 6 , 4 ," 12,598 ", -   , -   , 1 , 94 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
95930," 128,418 ", 78 ," 397,589 "," 263,441 ",, 2.86 ,,, 11 , 67 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
95938," 1,133,038 ", 621 ," 577,881 "," 387,266 ",, 0.50 , 329 , 273 , 18 , 1 ,, 1 ," 20,106 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
95940," 6,928 ", 2 ," 409,150 "," 253,900 ",, 2.50 ,,, 1 , 1 ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
95941," 91,288 ", 48 ," 391,086 "," 243,934 ",, 2.46 ,,, 26 , 22 ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
95942," 1,003,153 ", 423 ," 476,883 "," 315,797 ",, 2.82 ,,, 107 , 286 , 30 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
95948," 1,924,661 "," 1,558 "," 395,389 "," 266,916 ",, 0.44 , 880 , 665 , 12 ,,, 5 ," 931,023 ", 1 ," 45,517 ", 4 ," 342,161 ", 1 ," 11,813 ", -   , -   , -   , -   , -   , -   , -   , -   
95954," 2,517,164 "," 1,228 "," 428,278 "," 275,298 ",, 2.68 , -   , 15 , 400 , 782 , 31 , 1 ," 20,912 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
95958," 18,934 ", 10 ," 413,451 "," 236,831 ",, 0.49 , 5 , 5 ,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
95965," 3,925,493 "," 2,203 "," 382,614 "," 259,504 ",, 0.84 , 877 , 929 , 279 , 111 , 7 , 2 ," 28,611 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
95966," 8,815,567 "," 4,528 "," 406,447 "," 264,061 ",, 1.71 , 452 ," 1,454 "," 1,634 ", 949 , 39 , 5 ," 232,371 ", 1 ," 74,319 ", 3 ," 28,970 ", 1 ," 81,716 ", -   , -   , -   , -   , -   , -   , -   , -   
95968," 263,867 ", 166 ," 338,886 "," 229,648 ",, 0.37 , 114 , 43 , 10 ,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
95969," 4,112,171 "," 1,951 "," 494,822 "," 325,365 ",, 2.19 , 6 , 255 ," 1,070 ", 599 , 22 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
95973," 7,998,258 "," 5,824 "," 512,705 "," 348,013 ",, 0.66 ," 2,597 "," 2,757 ", 348 , 110 , 11 , 6 ," 416,037 ", -   , -   , 4 ," 46,525 ", -   , -   , 1 ," 29,325 ", -   , -   , -   , -   , -   , -   
95974," 95,056 ", 54 ," 447,614 "," 317,136 ",, 0.45 , 31 , 22 , 1 ,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
95978," 62,508 ", 36 ," 339,392 "," 223,302 ",, 2.38 ,, -   , 22 , 14 ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Calaveras," 29,137,218 "," 13,069 "," 510,173 "," 328,736 ",, 2.44 , 103 ," 2,573 "," 3,978 "," 5,755 ", 659 , 6 ," 900,695 ", 2 ," 89,963 ", 7 ," 428,658 ", 1 ," 56,604 ", -   , -   , -   , -   , -   , -   , -   , -   
95221," 14,371 ", 4 ," 1,105,725 "," 538,744 ",, 1.00 , 2 , 1 ,, 1 ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
95222," 2,806,217 "," 1,053 "," 542,229 "," 355,919 ",, 1.90 , 13 , 396 , 334 , 299 , 11 , 2 ," 109,987 ", -   , -   , 2 ," 45,788 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
95223," 6,562,978 "," 3,299 "," 491,359 "," 324,314 ",, 3.02 , 3 , 37 , 146 ," 2,821 ", 293 , 1 ," 3,023 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
95224," 199,077 ", 83 ," 477,943 "," 330,085 ",, 3.26 , 1 ,, 8 , 43 , 32 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
95225," 387,379 ", 129 ," 490,157 "," 326,665 ",, 2.03 , 4 , 20 , 73 , 30 , 1 , 1 ," 9,261 ", -   , -   , 1 ," 8,763 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
95226," 41,028 ", 11 ," 497,818 "," 355,615 ",, 2.65 ,,, 4 , 7 ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
95228," 3,512,820 "," 1,407 "," 600,933 "," 381,122 ",, 1.84 , 22 , 497 , 596 , 271 , 21 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
95229," 31,129 ", 14 ," 426,169 "," 287,753 ",, 2.14 ,, 4 , 4 , 6 ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
95232," 148,828 ", 67 ," 466,621 "," 315,501 ",, 2.94 ,, 4 , 7 , 45 , 11 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
95233," 196,485 ", 109 ," 451,954 "," 294,724 ",, 3.16 ,,, 11 , 70 , 28 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
95245," 1,153,650 ", 449 ," 485,065 "," 325,506 ",, 2.33 ,, 69 , 175 , 189 , 15 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
95246," 797,684 ", 345 ," 461,576 "," 307,535 ",, 2.76 , 1 , 23 , 48 , 260 , 13 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
95247," 2,367,904 "," 1,011 "," 603,979 "," 393,020 ",, 2.59 , 2 , 162 , 185 , 555 , 106 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
95248," 149,484 ", 76 ," 368,473 "," 247,892 ",, 2.97 ,,, 11 , 56 , 9 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
95249," 1,230,073 ", 576 ," 426,674 "," 282,066 ",, 2.02 , 9 , 154 , 237 , 171 , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
95251," 281,195 ", 119 ," 501,420 "," 335,611 ",, 2.78 ,, 3 , 22 , 92 , 2 , 1 ," 28,424 ", -   , -   , 1 ," 14,933 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
95252," 7,944,814 "," 3,638 "," 474,559 "," 298,452 ",, 1.82 , 45 ," 1,112 "," 1,966 ", 482 , 34 , 1 ," 750,000 ", 2 ," 89,963 ", 3 ," 359,174 ", 1 ," 56,604 ", -   , -   , -   , -   , -   , -   , -   , -   
95254," 435,120 ", 153 ," 581,418 "," 386,112 ",, 1.66 , 1 , 69 , 66 , 16 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
95255," 706,345 ", 410 ," 387,020 "," 254,469 ",, 2.87 ,, 22 , 68 , 259 , 60 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
95257," 170,637 ", 116 ," 362,359 "," 233,620 ",, 3.00 ,,, 17 , 82 , 17 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Colusa," 3,215,573 "," 2,714 "," 386,197 "," 256,573 ",, 0.49 ," 1,895 ", 742 , 59 , 17 ,, 4 ," 509,996 ", -   , -   , 5 ," 288,641 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
95912," 768,731 ", 600 ," 407,394 "," 269,863 ",, 0.28 , 434 , 163 , 3 ,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
95932," 1,115,734 "," 1,000 "," 414,557 "," 275,257 ",, 0.31 , 695 , 303 , 2 ,,, 2 ," 174,926 ", -   , -   , 3 ," 185,921 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
95950," 35,260 ", 31 ," 377,661 "," 252,030 ",, 0.32 , 21 , 10 ,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
