city,county
 Brandeis, Ventura
 Branscomb, Mendocino
 Brawley, Imperial
 Brea, Orange
 Brentwood, Contra Costa
 Bridgeport, Mono
 Bridgeville, Humboldt
 Brisbane, San Mateo
 Brookdale, Santa Cruz
 Brooks, Yolo
 Browns Valley, Yuba
 Brownsville, Yuba
 Bryn Mawr, San Bernardino
 Buellton, Santa Barbara
 Buena Park, Orange
 Burbank, Los Angeles
 Burlingame, San Mateo
 Burney, Shasta
 Burnt Ranch, Trinity
 Burrel, Fresno
 Burson, Calaveras
 Butte City, Glenn
 Buttonwillow, Kern
 Byron, Contra Costa
 Cabazon, Riverside
 Calabasas, Los Angeles
 Calexico, Imperial
 Caliente, Kern
 California City, Kern
 California Hot Springs, Tulare
 Calimesa, Riverside
 Calipatria, Imperial
 Calistoga, Napa
 Callahan, Siskiyou
 Calpella, Mendocino
 Calpine, Sierra
 Camarillo, Ventura
 Cambria, San Luis Obispo
 Camino, El Dorado
 Camp Meeker, Sonoma
 Camp Nelson, Tulare
 Camp Pendleton, San Diego
 Campbell, Santa Clara
 Campo Seco, Calaveras
 Campo, San Diego
 Camptonville, Yuba
 Canby, Modoc
 Canoga Park, Los Angeles
 Cantil, Kern
 Cantua Creek, Fresno
 Canyon Country, Los Angeles
 Canyon Dam, Plumas
 Canyon, Contra Costa
 Capay, Yolo
 Capistrano Beach, Orange
 Capitola, Santa Cruz
 Cardiff By The Sea, San Diego
 Carlotta, Humboldt
 Carlsbad, San Diego
 Carmel By The Sea, Monterey
 Carmel Valley, Monterey
 Carmel, Monterey
 Carmichael, Sacramento
 Carnelian Bay, Placer
 Carpinteria, Santa Barbara
 Carson, Los Angeles
 Caruthers, Fresno
 Casmalia, Santa Barbara
 Caspar, Mendocino
 Cassel, Shasta
 Castaic, Los Angeles
 Castella, Shasta
 Castro Valley, Alameda
 Castroville, Monterey
 Cathedral City, Riverside
 Catheys Valley, Mariposa
 Cayucos, San Luis Obispo
 Cazadero, Sonoma
 Cedar Glen, San Bernardino
 Cedar Ridge, Nevada
 Cedarpines Park, San Bernardino
 Cedarville, Modoc
 Ceres, Stanislaus
 Cerritos, Los Angeles
 Challenge, Yuba
 Chatsworth, Los Angeles
 Chester, Plumas
 Chicago Park, Nevada
 Chico, Butte
 Chilcoot, Plumas
 Chinese Camp, Tuolumne
 Chino Hills, San Bernardino
 Chino, San Bernardino
 Chowchilla, Madera
 Chualar, Monterey
 Chula Vista, San Diego
 Cima, San Bernardino
 Citrus Heights, Sacramento
 City Of Industry, Los Angeles
 Claremont, Los Angeles
 Clarksburg, Yolo
 Clayton, Contra Costa
 Clearlake Oaks, Lake
 Clearlake Park, Lake
 Clearlake, Lake
 Clements, San Joaquin
 Clio, Plumas
 Clipper Mills, Butte
 Cloverdale, Sonoma
 Clovis, Fresno
 Coachella, Riverside
 Coalinga, Fresno
 Coarsegold, Madera
 Cobb, Lake
 Coleville, Mono
 Colfax, Placer
 Coloma, El Dorado
 Colton, San Bernardino
 Columbia, Tuolumne
 Colusa, Colusa
 Comptche, Mendocino
 Compton, Los Angeles
 Concord, Contra Costa
 Cool, El Dorado
 Copperopolis, Calaveras
 Corcoran, Kings
 Corning, Tehama
 Corona Del Mar, Orange
 Corona, Riverside
 Coronado, San Diego
 Corte Madera, Marin
 Costa Mesa, Orange
 Cotati, Sonoma
 Cottonwood, Shasta
 Coulterville, Mariposa
 Courtland, Sacramento
 Covelo, Mendocino
 Covina, Los Angeles
 Coyote, Santa Clara
 Crescent City, Del Norte
 Crescent Mills, Plumas
 Cressey, Merced
 Crest Park, San Bernardino
 Crestline, San Bernardino
 Creston, San Luis Obispo
 Crockett, Contra Costa
 Crows Landing, Stanislaus
 Culver City, Los Angeles
 Cupertino, Santa Clara
 Cutler, Tulare
 Cutten, Humboldt
 Cypress, Orange
 Daggett, San Bernardino
 Daly City, San Mateo
 Dana Point, Orange
 Danville, Contra Costa
 Dardanelle, Tuolumne
 Darwin, Inyo
 Davenport, Santa Cruz
 Davis Creek, Modoc
 Davis, Yolo
 Death Valley, Inyo
 Deer Park, Napa
 Del Mar, San Diego
 Del Rey, Fresno
 Delano, Kern
 Delhi, Merced
 Denair, Stanislaus
 Descanso, San Diego
 Desert Center, Riverside
 Desert Hot Springs, Riverside
 Diablo, Contra Costa
 Diamond Bar, Los Angeles
 Diamond Springs, El Dorado
 Discovery Bay, Contra Costa
 Dillon Beach, Marin
 Dinuba, Tulare
 Dixon, Solano
 Dobbins, Yuba
 Dorris, Siskiyou
 Dos Palos, Merced
 Dos Rios, Mendocino
 Douglas City, Trinity
 Douglas Flat, Calaveras
 Downey, Los Angeles
 Downieville, Sierra
 Doyle, Lassen
 Drytown, Amador
 Duarte, Los Angeles
 Dublin, Alameda
 Ducor, Tulare
 Dulzura, San Diego
 Duncans Mills, Sonoma
 Dunlap, Fresno
 Dunnigan, Yolo
 Dunsmuir, Siskiyou
 Durham, Butte
 Dutch Flat, Placer
 Eagleville, Modoc
 Earlimart, Tulare
 Earp, San Bernardino
 East Irvine, Orange
 Eastvale,Riverside
 Echo Lake, El Dorado
 Edison, Kern
 Edwards, Kern
 El Cajon, San Diego
 El Centro, Imperial
 El Cerrito, Contra Costa
 El Dorado Hills, El Dorado
 El Dorado, El Dorado
 El Granada, San Mateo
 El Monte, Los Angeles
 El Nido, Merced
 El Portal, Mariposa
 El Segundo, Los Angeles
 El Sobrante, Contra Costa
 El Toro, Orange
 El Verano, Sonoma
 Eldridge, Sonoma
 Elk Creek, Glenn
 Elk Grove, Sacramento
 Elk, Mendocino
 Elmira, Solano
 Elverta, Sacramento
 Emeryville, Alameda
 Emigrant Gap, Placer
 Empire, Stanislaus
 Encinitas, San Diego
 Encino, Los Angeles
 Escalon, San Joaquin
 Escondido, San Diego
 Esparto, Yolo
 Essex, San Bernardino
 Etna, Siskiyou
 Eureka, Humboldt
 Exeter, Tulare
 Fair Oaks, Sacramento
 Fairfax, Marin
 Fairfield, Solano
 Fall River Mills, Shasta
 Fallbrook, San Diego
 Farmersville, Tulare
 Farmington, San Joaquin
 Fawnskin, San Bernardino
 Feather Falls, Butte
 Fellows, Kern
 Felton, Santa Cruz
 Ferndale, Humboldt
 Fiddletown, Amador
 Fields Landing, Humboldt
 Fillmore, Ventura
 Finley, Lake
 Firebaugh, Fresno
 Fish Camp, Mariposa
 Five Points, Fresno
 Floriston, Nevada
 Flournoy, Tehama
 Folsom, Sacramento
 Fontana, San Bernardino
 Foothill Ranch, Orange
 Forbestown, Butte
 Forest Falls, San Bernardino
 Forest Knolls, Marin
 Forest Ranch, Butte
 Foresthill, Placer
 Forestville, Sonoma
 Forks Of Salmon, Siskiyou
 Fort Bidwell, Modoc
 Fort Bragg, Mendocino
 Fort Dick, Del Norte
 Fort Irwin, San Bernardino
 Fort Jones, Siskiyou
 Fortuna, Humboldt
 Fountain Valley, Orange
 Fowler, Fresno
 Frazier Park, Kern
 Freedom, Santa Cruz
 Fremont, Alameda
 French Camp, San Joaquin
 French Gulch, Shasta
 Fresno, Fresno
 Friant, Fresno
 Fullerton, Orange
 Fulton, Sonoma
 Galt, Sacramento
 Garberville, Humboldt
 Garden Grove, Orange
 Garden Valley, El Dorado
 Gardena, Los Angeles
 Gasquet, Del Norte
 Gazelle, Siskiyou
 Georgetown, El Dorado
 Gerber, Tehama
 Geyserville, Sonoma
 Gilroy, Santa Clara
 Glen Ellen, Sonoma
 Glencoe, Calaveras
 Glendale, Los Angeles
 Glendora, Los Angeles
 Glenhaven, Lake
 Glenn, Glenn
 Glennville, Kern
 Gold Run, Placer
 Goleta, Santa Barbara
 Gonzales, Monterey
 Goodyears Bar, Sierra
 Goshen, Tulare
 Granada Hills, Los Angeles
 Grand Terrace, San Bernardino
 Granite Bay, Placer
 Grass Valley, Nevada
 Graton, Sonoma
 Green Valley Lake, San Bernardino
 Greenbrae, Marin
 Greenfield, Monterey
 Greenview, Siskiyou
 Greenville, Plumas
 Greenwood, El Dorado
 Grenada, Siskiyou
 Gridley, Butte
 Grimes, Colusa
 Grizzly Flats, El Dorado
 Groveland, Tuolumne
 Grover Beach, San Luis Obispo
 Guadalupe, Santa Barbara
 Gualala, Mendocino
 Guasti, San Bernardino
 Guatay, San Diego
 Guerneville, Sonoma
 Guinda, Yolo
 Gustine, Merced
 Hacienda Heights, Los Angeles
 Half Moon Bay, San Mateo
 Hamilton City, Glenn
 Hanford, Kings
 Happy Camp, Siskiyou
 Harbor City, Los Angeles
 Harmony, San Luis Obispo
 Hat Creek, Shasta
 Hathaway Pines, Calaveras
 Hawaiian Gardens, Los Angeles
 Hawthorne, Los Angeles
 Hayfork, Trinity
 Hayward, Alameda
 Healdsburg, Sonoma
 Heber, Imperial
 Helendale, San Bernardino
 Helm, Fresno
 Hemet, Riverside
 Herald, Sacramento
 Hercules, Contra Costa
 Herlong, Lassen
 Hermosa Beach, Los Angeles
 Hesperia, San Bernardino
 Hickman, Stanislaus
 Hidden Valley Lake, Lake
 Highland, San Bernardino
 Hilmar, Merced
 Hinkley, San Bernardino
 Hollister, San Benito
 Holt, San Joaquin
 Holtville, Imperial
 Holy City, Santa Clara
 Homeland, Riverside
 Homewood, Placer
 Honeydew, Humboldt
 Hood, Sacramento
 Hoopa, Humboldt
 Hopland, Mendocino
 Hornbrook, Siskiyou
 Hornitos, Mariposa
 Hughson, Stanislaus
 Hume, Fresno
 Huntington Beach, Orange
 Huntington Park, Los Angeles
 Huron, Fresno
 Hyampom, Trinity
 Hydesville, Humboldt
 Idyllwild, Riverside
 Igo, Shasta
 Imperial Beach, San Diego
 Imperial, Imperial
 Independence, Inyo
 Indian Wells, Riverside
 Indio, Riverside
 Inglewood, Los Angeles
 Inverness, Marin
 Inyokern, Kern
 Ione, Amador
 Irvine, Orange
 Isleton, Sacramento
 Ivanhoe, Tulare
 Jackson, Amador
 Jacumba, San Diego
 Jamestown, Tuolumne
 Jamul, San Diego
 Janesville, Lassen
 Jenner, Sonoma
 Johannesburg, Kern
 Jolon, Monterey
 Joshua Tree, San Bernardino
 Julian, San Diego
 Junction City, Trinity
 June Lake, Mono
 Jurupa Valley,Riverside
 Kaweah, Tulare
 Keeler, Inyo
 Keene, Kern
 Kelseyville, Lake
 Kentfield, Marin
 Kenwood, Sonoma
 Kerman, Fresno
 Kernville, Kern
 Kettleman City, Kings
 Keyes, Stanislaus
 King City, Monterey
 Kings Beach, Placer
 Kings Canyon National Pk, Tulare
 Kingsburg, Fresno
 Kirkwood, Alpine
 Kit Carson, Amador
 Klamath River, Siskiyou
 Klamath, Del Norte
 Kneeland, Humboldt
 Knights Landing, Yolo
 Knightsen, Contra Costa
 Korbel, Humboldt
 Kyburz, El Dorado
 La Canada Flintridge, Los Angeles
 La Crescenta, Los Angeles
 La Grange, Stanislaus
 La Habra, Orange
 La Honda, San Mateo
 La Jolla, San Diego
 La Mesa, San Diego
 La Mirada, Los Angeles
 La Palma, Orange
 La Puente, Los Angeles
 La Quinta, Riverside
 La Verne, Los Angeles
 Ladera Ranch, Orange
 Lafayette, Contra Costa
 Laguna Beach, Orange
 Laguna Hills, Orange
 Laguna Niguel, Orange
 Laguna Woods, Orange
 Lagunitas, Marin
 Lake Arrowhead, San Bernardino
 Lake City, Modoc
 Lake Elsinore, Riverside
 Lake Forest, Orange
 Lake Hughes, Los Angeles
 Lake Isabella, Kern
 Lakehead, Shasta
 Lakeport, Lake
 Lakeshore, Fresno
 Lakeside, San Diego
 Lakewood, Los Angeles
 Lamont, Kern
 Lancaster, Los Angeles
 Landers, San Bernardino
 Larkspur, Marin
 Lathrop, San Joaquin
 Laton, Fresno
 Lawndale, Los Angeles
 Laytonville, Mendocino
 Le Grand, Merced
 Lebec, Kern
 Lee Vining, Mono
 Leggett, Mendocino
 Lemon Cove, Tulare
 Lemon Grove, San Diego
 Lemoore, Kings
 Lewiston, Trinity
 Likely, Modoc
 Lincoln Acres, San Diego
 Lincoln, Placer
 Linden, San Joaquin
 Lindsay, Tulare
 Litchfield, Lassen
 Little Lake, Inyo
 Little River, Mendocino
 Littlerock, Los Angeles
 Live Oak, Sutter
 Livermore, Alameda
 Livingston, Merced
 Llano, Los Angeles
 Lockeford, San Joaquin
 Lockwood, Monterey
 Lodi, San Joaquin
 Loleta, Humboldt
 Loma Linda, San Bernardino
 Loma Mar, San Mateo
 Lomita, Los Angeles
 Lompoc, Santa Barbara
 Lone Pine, Inyo
 Long Barn, Tuolumne
 Long Beach, Los Angeles
 Lookout, Modoc
 Loomis, Placer
 Los Alamitos, Orange
 Los Alamos, Santa Barbara
 Los Altos, Santa Clara
 Los Angeles, Los Angeles
 Los Banos, Merced
 Los Gatos, Santa Clara
 Los Molinos, Tehama
 Los Olivos, Santa Barbara
 Los Osos, San Luis Obispo
 Lost Hills, Kern
 Lotus, El Dorado
 Lower Lake, Lake
 Loyalton, Sierra
 Lucerne Valley, San Bernardino
 Lucerne, Lake
 Ludlow, San Bernardino
 Lynwood, Los Angeles
 Lytle Creek, San Bernardino
 Macdoel, Siskiyou
 Mad River, Trinity
 Madeline, Lassen
 Madera, Madera
 Madison, Yolo
 Magalia, Butte
 Malibu, Los Angeles
 Mammoth Lakes, Mono
 Manchester, Mendocino
 Manhattan Beach, Los Angeles
 Manteca, San Joaquin
 Manton, Tehama
 March Air Reserve Base, Riverside
 Maricopa, Kern
 Marina Del Rey, Los Angeles
 Marina, Monterey
 Mariposa, Mariposa
 Markleeville, Alpine
 Marshall, Marin
 Martell, Amador
 Martinez, Contra Costa
 Marysville, Yuba
 Mather, Sacramento
 Maxwell, Colusa
 Maywood, Los Angeles
 Mc Farland, Kern
 Mc Kittrick, Kern
 Mcarthur, Lassen
 Mcclellan, Sacramento
 Mccloud, Siskiyou
 Mckinleyville, Humboldt
 Meadow Valley, Plumas
 Meadow Vista, Placer
 Mecca, Riverside
 Mendocino, Mendocino
 Mendota, Fresno
 Menifee, Riverside
 Menlo Park, San Mateo
 Mentone, San Bernardino
 Merced, Merced
 Meridian, Sutter
 Mi Wuk Village, Tuolumne
 Middletown, Lake
 Midpines, Mariposa
 Midway City, Orange
 Milford, Lassen
 Mill Creek, Tehama
 Mill Valley, Marin
 Millbrae, San Mateo
 Millville, Shasta
 Milpitas, Santa Clara
 Mineral, Tehama
 Mira Loma, Riverside
 Miramonte, Fresno
 Miranda, Humboldt
 Mission Hills, Los Angeles
 Mission Viejo, Orange
 Moccasin, Tuolumne
 Modesto, Stanislaus
 Mojave, Kern
 Mokelumne Hill, Calaveras
 Mono Hot Springs, Fresno
 Monrovia, Los Angeles
 Montague, Siskiyou
 Montara, San Mateo
 Montclair, San Bernardino
 Monte Rio, Sonoma
 Montebello, Los Angeles
 Monterey Park, Los Angeles
 Monterey, Monterey
 Montgomery Creek, Shasta
 Montrose, Los Angeles
 Moorpark, Ventura
 Moraga, Contra Costa
 Moreno Valley, Riverside
 Morgan Hill, Santa Clara
 Morongo Valley, San Bernardino
 Morro Bay, San Luis Obispo
 Moss Beach, San Mateo
 Moss Landing, Monterey
 Mount Aukum, El Dorado
 Mount Hamilton, Santa Clara
 Mount Hermon, Santa Cruz
 Mount Laguna, San Diego
 Mount Shasta, Siskiyou
 Mount Wilson, Los Angeles
 Mountain Center, Riverside
 Mountain Mesa, Kern
 Mountain Pass, San Bernardino
 Mountain Ranch, Calaveras
 Mountain View, Santa Clara
 Mt Baldy, Los Angeles
 Murphys, Calaveras
 Murrieta, Riverside
 Myers Flat, Humboldt
 Napa, Napa
 National City, San Diego
 Navarro, Mendocino
 Needles, San Bernardino
 Nelson, Butte
 Nevada City, Nevada
 New Almaden, Santa Clara
 New Cuyama, Santa Barbara
 Newark, Alameda
 Newberry Springs, San Bernardino
 Newbury Park, Ventura
 Newcastle, Placer
 Newhall, Los Angeles
 Newman, Stanislaus
 Newport Beach, Orange
 Newport Coast, Orange
 Nicasio, Marin
 Nice, Lake
 Nicolaus, Sutter
 Niland, Imperial
 Nipomo, San Luis Obispo
 Nipton, San Bernardino
 Norco, Riverside
 Norden, Nevada
 North Fork, Madera
 North Highlands, Sacramento
 North Hills, Los Angeles
 North Hollywood, Los Angeles
 North Palm Springs, Riverside
 North San Juan, Nevada
 Northridge, Los Angeles
 Norwalk, Los Angeles
 Novato, Marin
 Nubieber, Lassen
 Nuevo, Riverside
 O Neals, Madera
 Oak Park, Ventura
 Oak Run, Shasta
 Oak View, Ventura
 Oakdale, Stanislaus
 Oakhurst, Madera
 Oakland, Alameda
 Oakley, Contra Costa
 Oakville, Napa
 Obrien, Shasta
 Occidental, Sonoma
 Oceano, San Luis Obispo
 Oceanside, San Diego
 Ocotillo, Imperial
 Ojai, Ventura
 Olancha, Inyo
 Old Station, Shasta
 Olema, Marin
 Olivehurst, Yuba
 Olympic Valley, Placer
 Ontario, San Bernardino
 Onyx, Kern
 Orange Cove, Fresno
 Orange, Orange
 Orangevale, Sacramento
 Oregon House, Yuba
 Orick, Humboldt
 Orinda, Contra Costa
 Orland, Glenn
 Orleans, Humboldt
 Oro Grande, San Bernardino
 Orosi, Tulare
 Oroville, Butte
 Oxnard, Ventura
 Pacific Grove, Monterey
 Pacific Palisades, Los Angeles
 Pacifica, San Mateo
 Pacoima, Los Angeles
 Paicines, San Benito
 Pala, San Diego
 Palermo, Butte
 Palm Desert, Riverside
 Palm Springs, Riverside
 Palmdale, Los Angeles
 Palo Alto, Santa Clara
 Palo Cedro, Shasta
 Palo Verde, Imperial
 Palomar Mountain, San Diego
 Palos Verdes Peninsula, Los Angeles
 Panorama City, Los Angeles
 Paradise, Butte
 Paramount, Los Angeles
 Parker Dam, San Bernardino
 Parlier, Fresno
 Pasadena, Los Angeles
 Paskenta, Tehama
 Paso Robles, San Luis Obispo
 Patterson, Stanislaus
 Patton, San Bernardino
 Pauma Valley, San Diego
 Paynes Creek, Tehama
 Pearblossom, Los Angeles
 Pebble Beach, Monterey
 Penn Valley, Nevada
 Penngrove, Sonoma
 Penryn, Placer
 Perris, Riverside
 Pescadero, San Mateo
 Petaluma, Sonoma
 Petrolia, Humboldt
 Phelan, San Bernardino
 Phillipsville, Humboldt
 Philo, Mendocino
 Pico Rivera, Los Angeles
 Piedmont, Alameda
 Piedra, Fresno
 Piercy, Mendocino
 Pilot Hill, El Dorado
 Pine Grove, Amador
 Pine Mountain Club,Kern
 Pine Valley, San Diego
 Pinecrest, Tuolumne
 Pinole, Contra Costa
 Pinon Hills, San Bernardino
 Pioneer, Amador
 Pioneertown, San Bernardino
 Piru, Ventura
 Pismo Beach, San Luis Obispo
 Pittsburg, Contra Costa
 Pixley, Tulare
 Placentia, Orange
 Placerville, El Dorado
 Planada, Merced
 Platina, Shasta
 Playa Del Rey, Los Angeles
 Playa Vista, Los Angeles
 Pleasant Grove, Sutter
 Pleasant Hill, Contra Costa
 Pleasanton, Alameda
 Plymouth, Amador
 Point Arena, Mendocino
 Point Mugu Nawc, Ventura
 Point Reyes Station, Marin
 Pollock Pines, El Dorado
 Pomona, Los Angeles
 Pope Valley, Napa
 Port Costa, Contra Costa
 Port Hueneme Cbc Base, Ventura
 Port Hueneme, Ventura
 Porter Ranch, Los Angeles
 Porterville, Tulare
 Portola Valley, San Mateo
 Portola, Plumas
 Posey, Tulare
 Potrero, San Diego
 Potter Valley, Mendocino
 Poway, San Diego
 Prather, Fresno
 Princeton, Colusa
 Proberta, Tehama
 Quincy, Plumas
 Rackerby, Yuba
 Rail Road Flat, Calaveras
 Raisin City, Fresno
 Ramona, San Diego
 Ranchita, San Diego
 Rancho Cordova, Sacramento
 Rancho Cucamonga, San Bernardino
 Rancho Mirage, Riverside
 Rancho Palos Verdes, Los Angeles
 Rancho Santa Fe, San Diego
 Rancho Santa Margarita, Orange
 Randsburg, Kern
 Ravendale, Lassen
 Raymond, Madera
 Red Bluff, Tehama
 Red Mountain, San Bernardino
 Redcrest, Humboldt
 Redding, Shasta
 Redlands, San Bernardino
 Redondo Beach, Los Angeles
 Redway, Humboldt
 Redwood City, San Mateo
 Redwood Estates, Santa Clara
 Redwood Valley, Mendocino
 Reedley, Fresno
 Represa, Sacramento
 Rescue, El Dorado
 Reseda, Los Angeles
 Rialto, San Bernardino
 Richgrove, Tulare
 Richmond, Contra Costa
 Richvale, Butte
 Ridgecrest, Kern
 Rimforest, San Bernardino
 Rio Dell, Humboldt
 Rio Linda, Sacramento
 Rio Nido, Sonoma
 Rio Oso, Sutter
 Rio Vista, Solano
 Ripon, San Joaquin
 River Pines, Amador
 Riverbank, Stanislaus
 Riverdale, Fresno
 Riverside, Riverside
 Robbins, Sutter
 Rocklin, Placer
 Rodeo, Contra Costa
 Rohnert Park, Sonoma
 Rosamond, Kern
 Rosemead, Los Angeles
 Roseville, Placer
 Ross, Marin
 Rough And Ready, Nevada
 Round Mountain, Shasta
 Rowland Heights, Los Angeles
 Rumsey, Yolo
 Running Springs, San Bernardino
 Rutherford, Napa
 Ryde, Sacramento
 Sacramento, Sacramento
 Saint Helena, Napa
 Salida, Stanislaus
 Salinas, Monterey
 Salton City, Imperial
 Salyer, Trinity
 Samoa, Humboldt
 San Andreas, Calaveras
 San Anselmo, Marin
 San Ardo, Monterey
 San Bernardino, San Bernardino
 San Bruno, San Mateo
 San Carlos, San Mateo
 San Clemente, Orange
 San Diego, San Diego
 San Dimas, Los Angeles
 San Fernando, Los Angeles
 San Francisco, San Francisco
 San Gabriel, Los Angeles
 San Geronimo, Marin
 San Gregorio, San Mateo
 San Jacinto, Riverside
 San Joaquin, Fresno
 San Jose, Santa Clara
 San Juan Bautista, San Benito
 San Juan Capistrano, Orange
 San Leandro, Alameda
 San Lorenzo, Alameda
 San Lucas, Monterey
 San Luis Obispo, San Luis Obispo
 San Luis Rey, San Diego
 San Marcos, San Diego
 San Marino, Los Angeles
 San Martin, Santa Clara
 San Mateo, San Mateo
 San Miguel, San Luis Obispo
 San Pablo, Contra Costa
 San Pedro, Los Angeles
 San Quentin, Marin
 San Rafael, Marin
 San Ramon, Contra Costa
 San Simeon, San Luis Obispo
 San Ysidro, San Diego
 Sanger, Fresno
 Santa Ana, Orange
 Santa Barbara, Santa Barbara
 Santa Clara, Santa Clara
 Santa Clarita, Los Angeles
 Santa Cruz, Santa Cruz
 Santa Fe Springs, Los Angeles
 Santa Margarita, San Luis Obispo
 Santa Maria, Santa Barbara
 Santa Monica, Los Angeles
 Santa Paula, Ventura
 Santa Rita Park, Merced
 Santa Rosa, Sonoma
 Santa Ynez, Santa Barbara
 Santa Ysabel, San Diego
 Santee, San Diego
 Saratoga, Santa Clara
 Sausalito, Marin
 Scotia, Humboldt
 Scott Bar, Siskiyou
 Scotts Valley, Santa Cruz
 Seal Beach, Orange
 Seaside, Monterey
 Sebastopol, Sonoma
 Seeley, Imperial
 Seiad Valley, Siskiyou
 Selma, Fresno
 Sequoia National Park, Tulare
 Shafter, Kern
 Shandon, San Luis Obispo
 Shasta Lake, Shasta
 Shasta, Shasta
 Shaver Lake, Fresno
 Sheep Ranch, Calaveras
 Sheridan, Placer
 Sherman Oaks, Los Angeles
 Shingle Springs, El Dorado
 Shingletown, Shasta
 Shoshone, Inyo
 Sierra City, Sierra
 Sierra Madre, Los Angeles
 Sierraville, Sierra
 Signal Hill, Los Angeles
 Silverado, Orange
 Simi Valley, Ventura
 Skyforest, San Bernardino
 Sloughhouse, Sacramento
 Smartsville, Nevada
 Smith River, Del Norte
 Snelling, Merced
 Soda Springs, Nevada
 Solana Beach, San Diego
 Soledad, Monterey
 Solvang, Santa Barbara
 Somerset, El Dorado
 Somes Bar, Siskiyou
 Somis, Ventura
 Sonoma, Sonoma
 Sonora, Tuolumne
 Soquel, Santa Cruz
 Soulsbyville, Tuolumne
 South Dos Palos, Merced
 South El Monte, Los Angeles
 South Gate, Los Angeles
 South Lake Tahoe, El Dorado
 South Pasadena, Los Angeles
 South San Francisco, San Mateo
 Spreckels, Monterey
 Spring Valley, San Diego
 Springville, Tulare
 Squaw Valley, Fresno
 Standard, Tuolumne
 Standish, Lassen
 Stanford, Santa Clara
 Stanton, Orange
 Stevenson Ranch, Los Angeles
 Stevinson, Merced
 Stewarts Point, Sonoma
 Stinson Beach, Marin
 Stirling City, Butte
 Stockton, San Joaquin
 Stonyford, Colusa
 Storrie, Plumas
 Stratford, Kings
 Strathmore, Tulare
 Strawberry Valley, Yuba
 Strawberry, Tuolumne
 Studio City, Los Angeles
 Sugarloaf, San Bernardino
 Suisun City, Solano
 Sultana, Tulare
 Summerland, Santa Barbara
 Sun City, Riverside
 Sun Valley, Los Angeles
 Sunland, Los Angeles
 Sunnyvale, Santa Clara
 Sunol, Alameda
 Sunset Beach, Orange
 Surfside, Orange
 Susanville, Lassen
 Sutter Creek, Amador
 Sutter, Sutter
 Sylmar, Los Angeles
 Taft, Kern
 Tahoe City, Placer
 Tahoe Vista, Placer
 Tahoma, El Dorado
 Talmage, Mendocino
